Score, Title, Reviews Count, Link, Release Date
73.25,73.25,Columns III: Revenge of Columns,16,https://segaretro.org/Columns_III:_Revenge_of_Columns,1993-10-15
69.38,69.38,Combat Cars,29,https://segaretro.org/Combat_Cars,1994-06-01
84.10,84.10,Comix Zone,37,https://segaretro.org/Comix_Zone,1995-07-01
70.07,70.07,Commandos,1,https://segaretro.org/Commandos_(Mega_Drive),
80.31,80.31,Contra: Hard Corps,34,https://segaretro.org/Contra:_Hard_Corps,1994-09-01
84.64,84.64,Cool Spot,45,https://segaretro.org/Cool_Spot,1993-04-01
74.52,74.52,Corporation,31,https://segaretro.org/Corporation,1992-09-01
72.06,72.06,Cosmic Spacehead,30,https://segaretro.org/Cosmic_Spacehead,1993-06-01
69.65,69.65,Crack Down,32,https://segaretro.org/Crack_Down,1990-12-20
54.55,54.55,Crayon Shin-chan: Arashi o Yobu Enji,4,https://segaretro.org/Crayon_Shin-chan:_Arashi_o_Yobu_Enji,1994-03-11
67.16,67.16,Crüe Ball,36,https://segaretro.org/Cr%C3%BCe_Ball,1992-09-01
41.54,41.54,Cross Fire,2,https://segaretro.org/Cross_Fire,1991-06-01
82.06,82.06,Crusader of Centy,37,https://segaretro.org/Crusader_of_Centy,1994-06-17
52.55,52.55,Crystal's Pony Tale,2,https://segaretro.org/Crystal%27s_Pony_Tale,1994-10-01
52.31,52.31,Curse,23,https://segaretro.org/Curse,1989-12-23
61.64,61.64,Cutie Suzuki no Ringside Angel,20,https://segaretro.org/Cutie_Suzuki_no_Ringside_Angel,1990-12-12
45.81,45.81,Cutthroat Island,13,https://segaretro.org/Cutthroat_Island,1995-06-01
60.59,60.59,CyberBall,25,https://segaretro.org/CyberBall,1990-06-01
67.98,67.98,Cyborg Justice,30,https://segaretro.org/Cyborg_Justice,1993-04-01
64.87,64.87,Daffy Duck in Hollywood,23,https://segaretro.org/Daffy_Duck_in_Hollywood,1995-01-01
59.46,59.46,Dahna Megami Tanjou,13,https://segaretro.org/Dahna_Megami_Tanjou,1991-12-20
69.74,69.74,Daikoukai Jidai II,8,https://segaretro.org/Daikoukai_Jidai_II,1994-06-24
61.52,61.52,Dangerous Seed,20,https://segaretro.org/Dangerous_Seed,1990-12-18
74.05,74.05,Darius II,28,https://segaretro.org/Darius_II,1990-12-20
39.76,39.76,Dark Castle,20,https://segaretro.org/Dark_Castle,1991-10-16
67.08,67.08,Darwin 4081,17,https://segaretro.org/Darwin_4081,1990-04-07
65.27,65.27,Dashin' Desperadoes,13,https://segaretro.org/Dashin%27_Desperadoes,1993-09-01
76.33,76.33,David Crane's Amazing Tennis,19,https://segaretro.org/David_Crane%27s_Amazing_Tennis,1993-03-01
76.27,76.27,David Robinson's Supreme Court,36,https://segaretro.org/David_Robinson%27s_Supreme_Court,1992-06-01
80.84,80.84,Davis Cup Tennis,34,https://segaretro.org/Davis_Cup_Tennis,1993-07-01
53.85,53.85,Daze Before Christmas,5,https://segaretro.org/Daze_Before_Christmas,
62.64,62.64,Deadly Moves,25,https://segaretro.org/Deadly_Moves,1992-06-01
35.03,35.03,Death Caliber,2,https://segaretro.org/Death_Caliber,
58.86,58.86,Death Duel,15,https://segaretro.org/Death_Duel,1992-10-01
76.69,76.69,Decap Attack,28,https://segaretro.org/Decap_Attack,1991-09-01
10.01,10.01,Deer Hunter,1,https://segaretro.org/Deer_Hunter,
72.05,72.05,Demolition Man,19,https://segaretro.org/Demolition_Man,1995-01-01
67.35,67.35,Desert Demolition Starring Road Runner and Wile E. Coyote,29,https://segaretro.org/Desert_Demolition_Starring_Road_Runner_and_Wile_E._Coyote,1995-02-01
84.23,84.23,Desert Strike: Return to the Gulf,50,https://segaretro.org/Desert_Strike:_Return_to_the_Gulf,1992-03-01
62.50,62.50,Devilish: The Next Possession,22,https://segaretro.org/Devilish:_The_Next_Possession,1992-04-01
